corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id,initial_run_id,numerically_refined
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,2.0,True,1.0,correct,1.2938404034942692,95.57031276910278,True,1.6193489216410493,0.0656918370445734,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,0.25,True,0.0,unresolved,,94.86888320270332,True,1.6187738246069736,1.576570117460461,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,0.35,True,0.0,unresolved,,94.86888320270332,True,1.5209025574692403,1.4183060214687973,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,0.5,True,0.0,unresolved,,94.86888320270332,True,1.387371628395622,1.20355372650245,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,0.75,True,0.0,unresolved,,94.86888320270332,True,1.2589127029684948,0.8795362109016904,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,1.0,True,0.0,unresolved,,94.86888320270332,True,1.298230175245564,0.5606473280419468,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.003,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,3.0,2.0,True,1.0,correct,1.25387373328462,94.86888320270332,True,1.6195147905208749,0.0608245982831811,1b016eb0e88f5853af641838,1b016eb0e88f5853af641838,False
tt,1.62,-40.0,0.01,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,10.0,0.25,True,0.0,unresolved,,92.98805808570688,True,1.628465266286538,1.5580044837316778,43e22230fea003c450251859,43e22230fea003c450251859,False
tt,1.62,-40.0,0.01,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,10.0,0.35,True,0.0,unresolved,,92.98805808570688,True,1.554475846947006,1.3781622987525828,43e22230fea003c450251859,43e22230fea003c450251859,False
tt,1.62,-40.0,0.01,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,10.0,0.5,True,0.0,unresolved,,92.98805808570688,True,1.4483808088221628,1.132395818415881,43e22230fea003c450251859,43e22230fea003c450251859,False
tt,1.62,-40.0,0.01,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,10.0,0.75,True,0.0,unresolved,,92.98805808570688,True,1.3651471893566265,0.7524191752393484,43e22230fea003c450251859,43e22230fea003c450251859,False
tt,1.62,-40.0,0.01,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,10.0,1.0,True,0.0,unresolved,,92.98805808570688,True,1.559007775204578,0.4244982087579127,43e22230fea003c450251859,43e22230fea003c450251859,False
